Тест: без ошибок 

---------------Протокол-----------------
 ------14.10.21 09:42:26-----
  
 ---- Параметры ---- 

-in: Test1.txt
-out: out.txt
-log: log.txt


Всего символов: 549

Всего строк: 34

Пропущено: 0
№ | Имя | тип данных | тип индитификатора | первое вхождение
1 | fi | integer | Функция    | 2 | - |
2 | fix | integer | Переманная | 5 | - |
3 | fiy | integer | Переманная | 8 | - |
4 | fiz | integer | Переманная | 13 | - |
5 | * | - | Оператор | 18 | - |
6 | + | - | Оператор | 21 | - |
7 | fs | string | Функция    | 32 | - |
8 | fsa | string | Переманная | 35 | - |
9 | fsb | string | Переманная | 38 | - |
10 | fsc | string | Переманная | 43 | - |
11 | substr | string | Функция    | 48 | - |
12 | substrp | integer | Переманная | 53 | - |
13 | substrn | integer | Переманная | 56 | - |
14 | substrc | integer | Переманная | 59 | - |
15 | substra | integer | Переманная | 63 | - |
16 | L1 | integer | Литерал    | 65 | 1 | 
17 | L2 | integer | Литерал    | 67 | 3 | 
18 | + | - | Оператор | 69 | - |
19 | substrb | integer | Переманная | 70 | - |
20 | mainx | integer | Переманная | 81 | - |
21 | mainy | integer | Переманная | 85 | - |
22 | mainz | integer | Переманная | 89 | - |
23 | mainsa | string | Переманная | 93 | - |
24 | mainsb | string | Переманная | 97 | - |
25 | mainsc | string | Переманная | 101 | - |
26 | mainstrlen | integer | Переманная | 105 | - |
27 | mainp | string | Переманная | 108 | - |
28 | L3 | integer | Литерал    | 117 | 5 | 
29 | L4 | string | Литерал    | 121 | [10]1234567890 |
30 | L5 | string | Литерал    | 146 | [22]контрольный     пример |
31 | L6 | integer | Литерал    | 161 | 0 | 
